2026-06-06 10:43:21 | INFO    | __main__ | 启动 AIGC Multi-Agent Platform v0.1.0
INFO:     Started server process [33352]
INFO:     Waiting for application startup.
2026-06-06 11:05:16 | INFO    | agents.base | [content_review] 开始执行
2026-06-06 11:05:19 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 11:05:19 | INFO    | agents.base | [content_review] 执行完成
2026-06-06 11:05:19 | INFO    | graph.graph_builder | [Router] 审核通过（7.8分），进入视频脚本生成
2026-06-06 11:05:19 | INFO    | agents.base | [video_script] 开始执行
2026-06-06 11:05:38 | INFO    | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-06 11:05:38 | INFO    | agents.base | [video_script] 执行完成
2026-06-06 11:05:38 | INFO    | graph.graph_builder | [Router] 脚本生成完成 → 15 个分镜，流水线结束
2026-06-06 11:05:38 | INFO    | api.routes.generate | [API] 工作流执行完成 task_id=T20260606030321dd0e4f17836
2026-06-06 11:06:26 | WARNING | services.task_service | [TaskService] Redis 结果存储失败: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 11:07:15 | ERROR   | services.task_service | [TaskService] Redis 更新失败 task_id=T20260606030321dd0e4f17836: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 11:07:15 | INFO    | services.task_service | [TaskService] 任务完成: T20260606030321dd0e4f17836 result_length=2999
2026-06-06 11:07:15 | INFO    | api.routes.generate | [API] 请求完成 task_id=T20260606030321dd0e4f17836 scenes=15 duration=210s
2026-06-06 11:12:05 | INFO    | api.routes.generate | [API] 收到生成请求 task_id=T202606060312050b6d5960413 topic='2025年AI Agent技术发展趋势与行业落地案例...'
2026-06-06 11:12:54 | ERROR   | services.task_service | [TaskService] Redis 存储失败: Error 22 connecting to localhost:6379. 远程计算机拒绝网络连接。.
2026-06-06 11:12:54 | INFO    | services.task_service | [TaskService] 任务已创建: T202606060312050b6d5960413 topic='2025年AI Agent技术发展趋势与行业落地案例...'
